RVL_SDK/src/revolution/bte/stack/btm/btm_pm	10	10+0	0
RVL_SDK/src/revolution/bte/stack/btm/btm_sco	15	14+1	0
RVL_SDK/src/revolution/bte/stack/btm/btm_sec	31	29+0	2
RVL_SDK/src/revolution/bte/stack/btu/btu_hcif	12	11+0	1
RVL_SDK/src/revolution/bte/stack/btu/btu_init	2	2+0	0
RVL_SDK/src/revolution/bte/stack/gap/gap_api	1	1+0	0
RVL_SDK/src/revolution/bte/stack/gap/gap_conn	8	8+0	0
RVL_SDK/src/revolution/bte/stack/gap/gap_utils	6	6+0	0
RVL_SDK/src/revolution/bte/stack/hcic/hcicmds	59	50+7	2
RVL_SDK/src/revolution/bte/stack/hid/hidd_api	1	1+0	0
RVL_SDK/src/revolution/bte/stack/hid/hidd_conn	1	1+0	0
RVL_SDK/src/revolution/bte/stack/hid/hidd_mgmt	1	1+0	0
RVL_SDK/src/revolution/bte/stack/hid/hidd_pm	3	3+0	0
RVL_SDK/src/revolution/bte/stack/hid/hidh_api	11	11+0	0
RVL_SDK/src/revolution/bte/stack/hid/hidh_conn	16	16+0	0
RVL_SDK/src/revolution/bte/stack/l2cap/l2c_api	13	13+0	0
RVL_SDK/src/revolution/bte/stack/l2cap/l2c_csm	11	9+0	2
RVL_SDK/src/revolution/bte/stack/l2cap/l2c_link	17	16+0	1
RVL_SDK/src/revolution/bte/stack/l2cap/l2c_main	5	3+0	2
RVL_SDK/src/revolution/bte/stack/l2cap/l2c_utils	33	33+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/port_api	1	1+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/port_rfc	18	17+0	1
RVL_SDK/src/revolution/bte/stack/rfcomm/port_utils	7	7+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_l2cap_if	10	10+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_mx_fsm	10	10+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_port_fsm	17	17+0	0
